archetype,total_insert_events,total_delete_events,total_copy_events,total_paste_events,avg_paste_length,max_paste_length,paste_to_insert_ratio,undo_events,redo_events,run_compile_events,avg_typing_speed,typing_burst_count,typing_pause_frequency,avg_pause_duration,longest_pause,key_latency_mean,key_latency_variance,paste_after_idle_time,typing_vs_paste_ratio,code_edit_distance,total_code_versions,avg_lines_added_per_revision,avg_lines_removed_per_revision,refactor_frequency,compile_error_count,error_fix_time,code_rewrite_ratio,function_rewrite_count,comment_addition_count,total_prompts_sent,avg_prompt_length,max_prompt_length,prompt_similarity_to_problem,prompt_refinement_count,prompt_entropy,clarification_prompt_ratio,solution_request_ratio,debugging_prompt_ratio,ai_response_acceptance_rate,ai_output_edit_distance,prompt_to_code_latency,session_duration,time_to_first_code,time_to_first_ai_prompt,ai_usage_early_ratio,ai_usage_late_ratio,iteration_cycle_count,avg_cycle_duration,focus_switch_count,browser_to_editor_ratio,idle_ratio
Exploratory Learner,1018.0,417.0,1.0,0.0,0.0,0.0,0.0,15.369,5.0,36.827,98.2,29.0,28.0,5.4,23.5,122.2,79.1,-3.9,1.0,0.459,18.0,2.637,0.0,5.0,8.0,-8.0,0.341,4.0,0.751,0.0,6.0,31.31,0.059,0.0,0.823,1.0,0.096,0.219,0.117,0.491,32.4,3709.0,98.0,1446.0,0.134,1.0,12.0,285.3,0.0,0.156,0.173
Iterative Debugger,1480.0,531.0,1.0,5.0,0.0,0.0,0.0034,18.0,7.0,39.0,214.331,69.0,81.0,7.6,29.5,157.3,319.94,14.5,10.0,0.409,56.0,6.0,5.0,8.0,7.0,69.361,0.53,2.283,1.0,2.0,5.0,7.0,0.159,0.0,0.466,1.0,0.255,0.751,0.158,0.318,27.5,4120.0,99.0,1276.0,0.06,0.374,12.0,316.9,9.639,0.28,0.4826150357445216
Prompt Engineer Solver,901.0,339.0,18.0,42.0,65.0,95.0,0.0466,6.0,3.735,8.0,47.2,56.0,276.413,14.4,48.5,254.2,176.1,17.7,1.0,0.133,11.0,18.0,13.0,0.0,1.0,60.1,0.37351657927289383,0.0,12.0,15.0,43.0,57.996,0.428,14.782,1.627,0.289,0.696,0.276,0.5987856523317607,0.752,58.0,2718.0,353.0,359.0,0.577,0.483,1.0,1359.0,29.0,0.482,0.467
Iterative Debugger,2261.0,930.0,2.0,3.0,47.0,56.0,0.0056375422751243475,80.603,3.0,38.0,50.2,59.0,49.0,11.4,43.4,239.0,80.0,-3.5,10.0,0.471,34.0,4.0,1.0,6.0,21.0,41.6,1.0,2.0,1.0,0.0,35.0,46.0,0.159,0.0,0.559,0.582,0.399,0.415,0.8787498146151227,0.739,22.9,3642.0,112.0,531.06,0.105,0.22,8.0,404.7,0.0,0.131,0.114
Independent Solver,1645.0,619.0,4.0,5.0,0.0,0.0,0.003,16.0,3.241,15.0,83.0,84.0,96.0,3.2,9.5,144.6,91.6,1.2,10.0,0.713,20.0,11.0,3.0,6.0,3.0,-13.4,0.657,5.0,0.0,5.0,5.0,11.0,-0.041,0.0,0.364,0.721,0.235,0.188,0.059,0.697,24.6,2859.0,118.0,1610.0,0.179,0.4,1.0,408.4,6.0,0.154,0.6606034264519518
AI-Dependent Constructor,205.0,67.0,2.0,42.0,155.0,262.0,0.2039,0.0,0.0,9.0,32.1,10.0,5.0,26.3,115.8,373.8,223.9,42.9,0.157,0.153,12.0,12.0,6.0,0.0,2.578,100.4,0.062,0.0,0.0,26.0,5.0,9.0,0.62,0.0,0.427,0.195,1.0,0.381,0.905,0.076,16.1,600.0,29.0,10.0,0.779,0.763915189249526,8.0,66.7,34.0,0.523,0.571
Prompt Engineer Solver,1012.0,376.0,18.0,29.0,78.0,144.0,0.0286,0.0,0.0,4.0,69.3,51.0,53.0,13.9,72.6,173.2,103.1,19.9,1.0,1.371,5.0,19.0,6.0,0.0,2.0,169.169,0.077,0.0,11.0,12.0,64.0,247.823,0.379,4.0,0.545,0.08530628914580189,0.699,0.349,0.668,0.611,200.88,2900.0,268.0,427.0,0.517,0.06827305689049996,2.0,966.7,22.0,1.0,0.498
Blind Copier,414.0,52.0,11.0,43.0,334.0,3595.0,0.1036,0.0,0.0,3.0,46.8,16.0,19.0,22.9,78.3,256.4,95.5,32.7,0.144,0.189,2.0,19.0,8.0,5.969,1.0,109.7,0.192,0.0,6.0,23.0,31.0,65.0,1.062,0.0,0.288,0.137,0.785,0.205,0.897,0.015,6.3,730.0,53.0,164.0,0.41288238540295835,0.526,2.0,243.3,150.002,0.661,0.686
Prompt Engineer Solver,616.0,227.0,16.0,23.0,79.0,107.0,0.0373,15.0,14.729,1.0,158.403,18.0,17.0,9.4,50.8,244.9,121.7,16.8,1.694,0.353,1.0,18.0,12.0,5.0,0.0,56.7,0.17,0.0,11.0,36.295,64.0,173.0,0.472,6.0,1.763,0.251,0.733,0.364,0.717,0.615,56.3,2366.0,279.0,1344.674,0.545,1.0,2.0,788.7,15.0,0.386,0.404
Iterative Debugger,1471.0,602.0,8.724,6.0,1.0,1.0,0.017914503945366422,20.0,6.0,35.0,74.5,243.515,69.0,2.2,11.1,161.1,34.6,6.0,1.0,0.213,35.0,11.0,7.0,9.0,46.805,-9.0,0.365,3.853,3.0,12.823,21.0,35.0,0.231,0.0,0.368,0.6266314367209727,0.205,0.1816240873945847,0.19,2.287,123.237,3517.0,98.0,1433.0,0.024140273980113876,0.8186861756468384,8.0,390.8,9.0,0.195,0.1770343992285225
Iterative Debugger,1612.0,606.0,0.0,1.0,0.0,0.0,0.0006,19.0,8.395,32.0,99.9,61.0,31.0,4.1,58.016,120.1,67.3,-2.5,10.0,0.375,179.607,21.766,1.0,44.531,10.0,14.7,0.695,3.0,1.0,0.0,25.0,55.0,0.344,0.0,0.34,0.513,0.479,0.559,0.204,0.24,48.0,3856.0,102.0,1557.0,0.13566829801744754,0.052,13.0,275.4,0.0,0.106,0.07248435656815864
AI-Dependent Constructor,1137.871,103.663,4.0,63.0,162.0,407.0,0.2681,15.0,4.301,1.0,17.1,6.0,6.0,39.8,194.1,701.8,236.6,34.2,0.115,0.399,1.0,38.444,10.0,3.0,0.0,111.8,0.159,0.0,1.0,29.0,7.0,20.0,0.768,0.0,0.49,0.197,0.716,0.37,1.0,0.048,72.263,600.0,74.0,198.0,1.0,0.253,1.0,150.0,69.0,0.554,0.496
Structured Collaborator,1144.0,370.0,13.0,34.928,50.038,54.0,0.007,10.0,1.0,4.0,67.2,54.0,30.0,12.4,111.007,178.6,124.5,4.7,10.0,0.229,7.639,26.0,8.0,13.604,0.0,38.6,0.15404770604096346,2.0,10.0,5.158,16.0,22.0,0.438,4.0,0.412,0.287,0.709,0.22989472959036716,0.596,2.637,67.913,2879.0,282.0,300.0,0.345,0.595,4.0,1.0,87.4,0.586,0.619
Iterative Debugger,1582.0,600.0,12.909,3.0,31.0,83.0,0.0019,15.0,5.0,34.0,115.1,51.0,69.0,1.0,16.0,104.3,64.0,3.5,10.0,0.606,32.0,3.097,0.0,14.0,5.0,40.1,0.613,3.0,5.0,3.0,7.0,12.0,0.196,1.0,0.505,0.819,0.137,0.727,0.257,0.804,28.3,3606.0,87.0,4300.165,0.079,0.348,10.0,1.0,5.0,0.2993998182393249,0.14
AI-Dependent Constructor,217.0,106.0,2.0,49.0,115.0,220.0,0.2248,0.0,0.0,14.0,35.9,6.0,28.925,1.0,135.3,334.3,78.9,38.1,0.193,0.38,14.0,19.0,7.0,0.0,3.0,109.4,0.131,0.0,3.0,20.0,10.0,24.601,0.967,0.0,0.472,0.136,0.811,0.313,0.784,0.02,-5.9,1.0,29.0,115.0,0.842,0.42,5.0,229.3,40.0,0.785,0.817
AI-Dependent Constructor,544.0,34.0,3.0,57.0,172.0,291.0,0.1046,1.0,0.0,12.0,12.6,31.0,34.0,36.1,426.953,3165.979,611.6,69.231,0.277,0.359,11.0,42.163,13.0,6.0,3.597,119.2,0.125,0.0,0.0,29.0,36.0,88.0,0.645,1.0,0.431,0.155,0.837,0.126,0.747,0.09,4.2,794.0,10.0,10.0,0.621,0.408,9.0,79.4,64.0,0.57,0.579
Exploratory Learner,1708.0,780.0,3.603,22.0,17.0,49.0,0.0129,74.67,2.0,11.0,94.4,60.0,35.0,12.9,33.149,127.1,76.1,0.5,10.0,0.677,61.856,4.054,0.0,5.0,6.0,21.5,1.0,4.0,6.0,3.0,11.0,65.5,0.069,0.0,0.913,1.0,0.456,0.179,1.0,0.512,11.6,3803.0,86.0,1284.0,0.12,0.15181044013067072,20.0,181.1,10.672,0.298,0.34
Prompt Engineer Solver,3026.931,339.0,15.0,31.73,92.0,132.0,0.06325506028115734,7.0,2.0,4.0,72.3,31.0,106.462,12.1,97.666,166.0,47.8,4.5,2.744,0.21,3.0,20.0,17.0,3.0,0.827,46.3,0.116,0.0,10.0,9.0,65.0,154.0,1.212,4.0,0.223,0.299,0.695,0.309,0.749,0.895,54.4,1.0,288.0,229.0,0.33,0.5410077030648236,1.0,1.0,16.0,0.599,0.674
Prompt Engineer Solver,1162.0,448.0,19.0,27.0,59.0,121.0,0.0232,1.6,0.0,8.0,48.1,63.0,65.0,7.0,29.3,249.5,117.9,14.8,3.645,0.353,3.642,15.0,6.0,1.0,3.0,-4.002,0.109,0.0,12.0,11.0,53.0,129.0,0.275,3.0,0.536,0.108,0.802,0.238,0.559,0.429,67.4,2819.0,339.0,456.0,0.32,0.10505511721887613,1.0,1409.5,110.198,1.0,0.487
Structured Collaborator,395.0,109.0,21.0,13.0,28.0,42.0,0.0328,7.0,0.0,9.0,70.8,18.0,38.369,17.0,76.5,169.5,72.7,8.9,5.411,0.162,7.0,25.0,16.0,3.0,13.833,32.1,0.197,0.0,12.0,23.983,27.0,64.0,0.459,4.0,2.184,0.145,0.818,0.23,0.516,0.732,65.8,2759.0,285.0,641.217,0.359,1.0,3.0,1.0,26.0,0.545,0.624
Prompt Engineer Solver,998.0,1392.302,15.0,7.0,71.0,189.0,0.007,1.0,0.0,9.0,60.3,29.0,30.0,13.2,42.1,199.0,107.3,35.8,10.0,0.307,12.0,54.515,24.773,4.0,2.0,40.8,0.17,0.0,10.0,7.0,67.0,103.0,0.545,6.0,0.091,0.101,0.823,0.111,0.539,0.824,45.5,2257.0,286.0,217.0,0.563,0.599,1.0,1.0,22.876,0.517,0.597
Iterative Debugger,1334.0,661.0,2.0,6.0,61.0,134.0,0.0045,30.0,8.0,39.0,93.9,287.631,115.57,0.9,2.0,127.8,51.2,3.0,10.0,0.671,50.0,5.0,4.525,14.0,6.0,5.7,0.335,2.0,2.0,0.0,11.0,21.0,0.158,1.0,0.247,0.664,0.252,0.554,0.258,0.372,17.5,3739.0,77.0,1382.0,0.021206405603003405,0.012,20.0,178.0,0.0,0.204,0.20553791946448066
Prompt Engineer Solver,742.0,366.0,9.0,19.0,66.0,138.0,0.0256,3.0,0.0,8.0,71.7,39.0,43.0,14.0,157.262,167.4,129.6,10.4,2.956,0.121,29.194,16.0,5.0,0.0,4.0,28.2,0.164,0.0,12.0,11.0,184.135,138.945,0.325,5.0,0.364,0.169,0.741,0.107,0.487,0.799,60.7,2906.0,253.0,247.0,0.519,0.593,2.0,968.7,22.0,0.359,0.368
Exploratory Learner,1279.0,471.0,6.0,16.0,0.0,0.0,0.0125,20.0,6.0,15.0,79.5,44.0,25.0,-0.4,-1.1,150.9,81.787,-20.4,1.0,0.71,78.776,2.026,0.0,6.0,5.0,20.4,0.623,3.0,0.0,1.0,19.615,38.636,0.16,0.0,0.927,0.708,0.272,0.363,0.105,0.464,26.4,3804.0,129.0,1496.0,0.154,0.014,3.0,951.0,1.0,0.282,0.286
Structured Collaborator,833.0,261.0,19.0,13.0,116.0,305.0,0.0156,10.0,8.638,5.0,72.8,43.0,51.0,8.8,47.8,164.8,122.6,23.2,2.76,0.183,7.0,18.0,5.0,0.0,2.0,25.9,0.47925456451817017,0.0,8.0,12.0,21.0,44.0,0.424,11.183,0.594,0.234,1.0,0.15,1.0,0.865,48.1,2597.0,300.0,273.0,0.458,0.488,3.0,649.2,15.0,0.519,1.0
Prompt Engineer Solver,750.0,365.0,14.0,0.0,45.0,68.0,0.0,9.0,2.0,2.0,53.8,31.0,29.0,15.8,70.8,163.403,91.7,58.881,10.0,0.352,2.0,20.0,5.0,2.0,0.0,68.9,0.06,0.0,10.0,11.0,65.0,110.0,0.353,6.0,0.405,0.161,0.818,0.11,0.701,0.691,65.1,1.0,310.0,348.0,1.0,0.466,1.0,1385.5,26.0,0.501,0.513
Structured Collaborator,875.0,1354.459,14.0,10.0,163.729,650.196,0.0114,7.0,1.0,5.0,64.8,24.0,27.939,16.4,51.3,185.2,134.0,33.632,8.239,0.134,6.0,16.0,5.0,2.0,0.0,7.3,0.14,0.0,7.0,8.0,93.678,81.0,0.571,15.201,0.214,0.7752633380458739,0.683,0.357,0.535,1.013,50.7,2795.0,874.925,350.0,0.564,0.3004197139429496,2.0,931.7,14.0,0.395,0.385
Independent Solver,1423.0,449.0,7.0,6.0,59.0,124.0,0.0042,95.26,6.0,2.905,82.2,59.0,185.519,3.9,4.855,146.0,82.7,-13.5,10.0,0.368,13.0,4.0,0.0,10.0,2.0,41.7,0.529,3.0,0.0,2.0,8.0,10.0,0.167,0.0,0.338,0.703,0.3016680780963916,0.12045820329398742,0.227,0.411,22.9,2094.0,65.0,1341.0,0.182,0.357,10.0,190.4,9.295,0.265,0.313
AI-Dependent Constructor,10.0,115.948,0.0,80.853,243.74,240.0,2.4545,9.255,0.0,7.0,22.5,5.0,5.0,1.0,63.1,533.3,310.2,21.1,0.015,0.374,8.0,21.0,5.0,10.513,3.0,91.2,0.071,0.0,1.0,24.0,18.0,40.0,0.512,0.0,0.492,0.23,0.685,0.308,0.873,0.049,-1.902,1567.0,60.0,10.0,0.734,0.519,11.0,130.6,55.0,0.775,0.754
Prompt Engineer Solver,772.761,176.0,13.0,27.0,99.0,179.0,0.08322091241023027,11.0,1.0,1.0,47.9,14.0,15.0,5.8,34.5,250.5,118.3,10.3,0.875,0.306,1.0,20.415,9.0,1.0,0.0,36.3,0.055,0.0,7.0,10.0,41.0,115.0,0.365,5.0,0.441,0.265,0.637,0.187,0.567,1.637,44.6,2105.0,315.0,96.0,0.346,0.421,2.0,701.7,31.441,0.55,0.537
Prompt Engineer Solver,818.0,351.0,19.0,1.0,54.0,125.0,0.0012,0.0,0.0,6.0,73.5,27.0,30.0,9.8,21.1,163.3,79.3,4.8,10.0,0.263,5.0,24.408,11.591,7.0,0.0,37.8,0.169,0.0,11.0,10.0,63.0,558.872,0.397,5.0,0.35,0.157,0.823,0.329,0.705,1.652,38.6,1.0,331.0,322.0,0.594,1.0,5.0,659.2,21.0,0.472,0.27888641874932096
Independent Solver,3113.202,633.0,16.0,6.0,73.0,182.0,0.0041,18.0,5.0,13.0,73.8,60.0,78.0,0.5,2.9,162.6,54.021,-2.5,10.0,1.051,24.781,2.0,0.0,12.0,6.0,30.3,0.357,16.227,3.0,18.641,21.0,57.0,0.171,0.0,0.847,1.0,0.428,0.222,0.221,0.383,22.1,2576.0,63.0,1521.0,0.015,0.25,16.0,1.0,8.0,0.11,0.091
Structured Collaborator,990.0,334.0,15.0,106.207,100.0,142.0,0.0222,0.0,0.0,1.0,62.8,33.0,37.0,13.0,38.6,191.1,420.073,11.1,2.249,0.347,1.0,24.0,7.0,10.0,0.0,114.379,0.093,0.0,10.0,18.546,13.0,22.0,0.402,4.0,0.536,0.3269387188173217,1.0,0.322,0.616,0.695,12.66,2388.0,321.0,251.0,0.394,0.5167094102090618,3.0,1.0,15.0,0.573,0.545
Structured Collaborator,857.0,629.463,9.0,30.0,66.0,155.0,0.035,3.0,0.0,6.0,58.1,24.706,28.0,4.8,16.7,451.303,87.1,13.3,2.163,0.116,8.0,61.578,19.0,1.0,1.0,37.6,0.182,2.0,11.0,8.0,5.0,7.0,1.032,6.0,0.326,0.229,0.731,0.314,0.681,0.66,56.7,2941.0,283.0,283.0,0.333,0.406,2.0,1.0,18.0,0.304,0.289
Iterative Debugger,1476.0,591.0,7.0,4.0,75.0,132.0,0.0027,21.0,6.0,35.0,108.2,37.0,23.0,3.8,11.6,110.9,95.376,4.5,10.0,0.376,46.0,1.0,0.0,10.0,3.0,39.8,0.69,2.0,2.0,6.505,7.0,13.0,0.249,0.0,0.6,0.599,0.353,0.699,0.182,0.342,30.2,1.0,82.0,1438.0,0.039,0.07,15.0,230.8,4.0,0.216,0.185
Prompt Engineer Solver,556.0,620.706,33.731,24.0,89.0,56.781,0.0431,0.974,0.0,1.0,91.3,30.0,43.0,4.0,16.0,131.4,79.9,16.5,1.0,0.123,1.0,19.0,11.0,6.0,0.0,16.5,0.057,0.0,10.0,13.0,60.0,100.0,0.433,7.0,1.064,0.224,0.678,0.157,0.464,0.838,60.3,2928.0,297.0,227.088,1.0,0.299,3.0,732.0,26.0,0.349,0.358
Prompt Engineer Solver,591.0,182.0,17.0,27.0,55.0,68.0,0.0456,0.0,0.0,1.0,65.1,31.043,12.456,1.0,26.6,184.3,138.4,2.2,1.989,1.816,1.0,24.0,9.0,0.0,0.0,72.6,0.086,0.0,26.332,9.0,55.0,346.428,0.469,12.277,1.82,0.203,0.721,0.185,0.798,0.706,58.1,3068.0,296.0,809.327,1.0,0.282,3.0,767.0,12.0,0.399,0.456
Iterative Debugger,1704.0,741.0,0.0,21.332,0.0,0.0,0.0047,19.0,15.856,32.0,85.5,43.0,61.149,-0.4,-1.2,140.4,28.2,-5.7,10.0,0.638,47.0,7.0,5.0,6.0,16.0,-14.5,0.43,3.0,3.0,3.0,23.39,14.0,-0.014,0.0,0.436,0.764,0.228,0.618,0.342,0.413,34.8,3372.0,137.0,1510.0,0.028372840265330053,0.133,8.0,374.7,4.0,0.243,0.972509784209501
AI-Dependent Constructor,444.0,46.0,10.0,59.0,137.0,363.0,0.1326,8.0,1.0,1.0,6.7,11.0,63.689,30.3,128.7,1791.0,1375.9,42.5,0.275,0.064,1.0,21.0,14.0,0.0,0.0,88.8,0.29200012697598743,0.0,3.0,26.0,25.0,32.0,0.705,2.0,0.545,0.136,0.784,0.266,0.804,0.021,14.74,854.0,50.0,31.613,0.802,0.519,1.0,213.5,52.0,0.672,1.0
Iterative Debugger,1043.0,472.0,1.0,20.0,0.0,0.0,0.0192,11.0,2.0,34.0,76.8,27.0,30.0,10.6,143.029,156.2,98.862,14.6,10.0,2.243,29.0,1.0,0.0,7.0,71.836,64.75,0.372,3.0,8.51,0.0,5.0,13.511,0.27,0.0,0.865,0.693,1.0,0.515,0.6404834563423604,0.397,30.9,3758.0,117.0,1518.0,0.018,0.3,11.0,1.0,0.0,0.153,0.123
Structured Collaborator,735.0,307.0,107.571,27.0,95.622,41.0,0.0367,13.0,3.0,3.0,35.6,18.0,16.0,10.1,47.4,337.1,265.0,21.369,3.999,0.131,2.0,50.569,11.0,1.0,1.0,12.9,0.115,0.0,48.956,16.0,7.0,17.0,0.469,5.0,0.205,0.15,1.0,0.4892349121961855,0.657,0.356,117.494,2413.0,320.0,448.0,0.502,0.232,3.0,1.0,36.0,0.542,0.612
Structured Collaborator,1121.0,566.0,11.0,6.0,69.0,180.0,0.0053,8.0,3.989,1.0,70.4,34.0,52.0,1.0,126.4,170.5,40.6,8.9,10.0,0.347,4.774,18.0,7.0,1.0,0.0,44.7,0.189,0.0,10.0,17.684,37.0,61.0,0.298,4.0,0.433,0.137,0.797,0.958871036795272,0.572,0.844,250.493,2831.0,269.0,188.0,0.375,0.406,3.0,1.0,16.0,0.406,0.459
Prompt Engineer Solver,551.097,249.0,15.0,49.0,71.0,171.0,0.0669,3.0,1.0,6.0,69.1,28.0,31.0,14.4,39.1,173.7,332.766,7.6,1.05,0.169,5.0,23.0,12.0,4.0,0.763,30.8,0.066,0.0,10.0,7.0,81.837,58.0,0.46,3.0,0.288,0.292,0.646,0.267,0.544,0.725,73.4,1767.0,332.0,358.685,0.352,0.4,1.0,883.5,16.0,0.489,1.0
Iterative Debugger,1358.0,478.0,14.677,6.0,0.0,0.0,0.014750126717320362,21.0,7.0,122.471,73.5,46.0,51.0,-0.5,-1.0,163.3,24.855,12.075,1.0,0.521,118.588,6.0,3.0,11.0,9.0,15.2,0.373,5.0,0.0,1.0,22.0,62.0,0.012,0.0,0.417,0.887,0.106,0.659,0.294,0.222,42.0,3403.0,63.0,1561.0,0.044,0.7107754996427307,13.0,243.1,1.0,0.174,0.6724315837085025
AI-Dependent Constructor,10.0,80.657,7.0,64.0,171.0,452.0,5.8182,8.0,2.233,6.0,12.1,5.0,6.0,22.8,126.8,3504.942,805.644,31.2,0.005,1.137,7.0,26.0,21.0,5.0,2.0,69.3,0.121,0.0,0.0,27.0,13.0,86.346,0.599,0.0,0.563,0.7908387545859614,0.78,0.123,0.659,0.073,21.6,1.0,63.0,119.0,0.682,0.477,3.0,257.8,71.569,0.691,0.642
Structured Collaborator,878.0,324.0,27.584,0.0,325.869,88.0,0.0,0.0,0.0,7.0,55.5,23.0,18.0,13.7,41.0,216.2,118.0,17.5,10.0,0.12,6.0,23.0,18.0,3.0,18.639,24.7,0.053,0.0,12.0,10.0,9.206,11.0,0.464,5.0,0.505,0.29514799848932666,0.808,0.286,0.733,0.769,69.7,2832.0,349.0,475.0,0.597,0.503,2.0,944.0,25.533,0.417,0.372
Prompt Engineer Solver,1135.0,481.0,18.0,35.0,58.0,140.0,0.0308,3.363,0.0,7.0,57.6,71.621,59.0,17.6,351.299,208.3,76.1,23.6,2.794,0.655,8.0,15.0,10.0,3.0,2.0,64.1,0.075,0.0,13.0,16.015,64.0,699.314,0.446,4.0,0.361,0.131,0.812,0.183,0.906,0.876,77.6,3329.0,286.0,284.0,0.31,0.369,1.0,1.0,27.0,0.564,0.65
Structured Collaborator,886.0,358.0,11.898,18.0,54.0,71.0,0.0203,2.0,0.0,14.436,64.6,23.0,13.0,8.7,24.7,310.476,62.7,13.6,4.553,0.241,5.0,13.0,37.327,0.0,0.473,54.57,0.069,0.0,8.0,8.0,15.0,23.0,0.418,9.602,0.337,0.273,0.712,0.125,0.633,2.742,65.7,1985.0,289.0,330.0,1.0,0.402,1.0,992.5,16.0,0.382,1.0
